授業科目名,キーワード,拡張キーワード
経済行動論,"['心理学', '意思決定']","['心理学', '意思決定', '行政', '問題解決', '哲学']"
ミクロ経済学,"['統計', '経済', '数学', '微積分', 'ミクロ']","['線形代数', '数学', '解析', '微積分', 'マクロ', '調査', '財政', 'ミクロ', '金融', '統計', '社会', '数理', '経済', '分析']"
実証ミクロ経済学,"['計量経済学', '統計', '経済', '政策', '数学', 'ミクロ', '分析', '情報', '実証']","['統計', '機械学習', '戦略', '解析', 'マクロ', 'コンテンツ', '調査', '財政', 'ミクロ', '数理', '政策', '線形代数', 'データ', '応用', '計量経済学', '政治', '社会', '経済', '分析', '数学', '通信', '実証', '金融', '情報']"
社会経済特別講義I(社会経済データ分析入門),"['データ分析', 'モデル', 'アルゴリズム', 'シミュレーション', 'コンピュータ']","['関数', '解析', 'データ分析', 'アプリケーション', 'コンピュータ', 'モデル', 'モデリング', 'アルゴリズム', 'ソフトウェア', '解法', 'シミュレーション', 'アーキテクチャ', 'ハードウェア', '最適化']"
社会経済特別講義II(入門複雑系経済学),"['経済', 'シミュレーション', 'エージェント']","['エンジニア', '解析', 'エージェント', 'マーケティング', '財政', '金融', 'コンピュータ', 'モデリング', '社会', '最適化', 'シミュレーション', '経済']"
社会経済特別講義III(脳と社会),"['経済', '倫理', '科学', '意思決定', '神経', '社会']","['外界', '文化', '人体', '心理学', '財政', '心理', '金融', '意思決定', '行政', '政治', '神経', '倫理', '社会', '科学', '分子', '問題解決', '経済']"
国際貿易論,"['投資', '経済', '貿易', 'リテラシー', 'メカニズム', 'モデル']","['財政', 'リテラシー', '金融', '資産運用', '取引', 'モデリング', '社会', 'アーキテクチャ', '貿易', 'メカニズム', 'モデル', '経済', '投資']"
産業組織論,"['経済', 'ゲーム', '微積分', 'ミクロ', '企業']","['線形代数', '金融機関', '微積分', 'ゲーム', 'マクロ', '資本', '財政', 'ミクロ', '金融', 'コンサルティング', '企業', '社会', '数理', '経済']"
マネジメント演習,"['統計', 'エンジニア', '意思決定', '開発', 'マネジメント', 'データ分析', '人工知能', 'プレゼンテーション']","['人工知能', 'エンジニア', 'コンサルティング', '統計', '解析', '生産', 'マーケティング', '調査', 'コンピューティング', '意思決定', 'シミュレーション', '問題解決', 'データ分析', 'プレゼンテーション', 'マネジメント', '分析', 'エージェント', 'ワークショップ', '実証', '行政', 'コンピュータ', '設計', '開発', 'イノベーション']"
産業・組織心理学,"['心理学', '統計', '人間']","['人体', '解析', '心理学', '調査', '生命', '統計', '哲学', '分析', '人間']"
マーケティング,"['統計', '経営', '数学', '商学', 'マーケティング', 'デジタル', '会計']","['経営', 'コンサルティング', '会計', '統計', '解析', 'マーケティング', '調査', '財政', '数理', '財務', '商学', '資産運用', '電子', 'マネジメント', '分析', '事業', '数学', 'デジタル', '金融', 'イノベーション']"
ファイナンス,"['金融', '分析', '資本', '意思決定', '統計', '問題解決']","['金融市場', '財務', '金融機関', '解析', '調査', '実証', '資本', '金融', '意思決定', '行政', '企業', '統計', '問題解決', '経済', '分析', '投資']"
経営学,"['会計', '経営', '会計', '商学', 'マネジメント', 'デジタル']","['経営', '財務', '事業', 'マーケティング', '財政', 'コンサルティング', '金融', '商学', '会計', '資産運用', 'デジタル', '電子', 'イノベーション', 'マネジメント']"
生産・品質管理,"['統計', 'チームワーク', '学習', '統計']","['戦略', '学習', '解析', '調査', '心理', '統計', 'コミュニケーション', 'チームワーク', '分析']"
経営工学,"['生産', 'エンジニア', 'サービス']","['エンジニア', '生産', 'エージェント', 'コンテンツ', 'ネットワーク', 'コンサルティング', 'サービス', 'システム', '市場', '開発', '発電', 'マネジメント']"
情報技術演習,"['分析', 'データ分析', 'プログラム', 'python', 'データ']","['解析', 'データ分析', 'データ', 'プログラム', '調査', '実証', 'アプリケーション', 'ソフトウェア', 'アルゴリズム', '機械学習', 'python', '分析', '情報']"
計算機科学,"['アルゴリズム', 'コンピュータ', '計算', 'プログラミング', 'データ', '統計', '情報']","['関数', 'プログラミング', 'アプリケーション', '統計', 'ハードウェア', '解析', 'コンテンツ', '調査', 'アルゴリズム', 'ソフトウェア', 'モデリング', '解法', 'データ', '分析', '計算', '通信', 'コンピュータ', '数値', '情報']"
シミュレーション,"['シミュレーション', 'プログラミング', '統計', 'コンピュータ', 'モデル', '代数', '問題解決']","['プログラミング', 'アプリケーション', '統計', 'ハードウェア', '解析', '調査', '意思決定', 'ソフトウェア', 'モデリング', 'モデル', 'シミュレーション', '問題解決', '代数', '方程式', '最適化', '分析', 'コンピュータ', '幾何学', '定理', 'アーキテクチャ']"
情報ネットワーク,"['統計', 'プログラミング', 'シミュレーション', 'セキュリティ', '問題解決', 'プロトコル', '数学']","['プログラミング', '解析', '数学', '調査', 'アプリケーション', '意思決定', 'ソフトウェア', '統計', 'モデリング', 'セキュリティ', 'プロトコル', 'シミュレーション', '問題解決', '数理', '最適化', '分析']"
データ解析,"['統計', '仮説', '分析', '検定', '数学', 'プログラミング', 'データ']","['数学', '解析', 'プログラミング', 'データ', '調査', '実証', 'アプリケーション', '仮説', '統計', '理論', '原理', '数理', 'モデリング', 'アルゴリズム', '検定', '定理', '分析', '情報']"
経営と機械学習,"['深層学習', '機械学習', '統計', '数学', '分析', 'データ分析', 'モデル']","['数学', '自然言語処理', 'システム情報', '深層学習', '解析', 'データ分析', '調査', '実証', '統計', '数理', 'モデリング', '機械学習', 'ビッグデータ', 'モデル', '分析', 'アーキテクチャ']"
数理工学モデル化演習,"['統計', '機械学習', '数学', 'モデリング', 'プログラミング']","['シミュレーション', '数学', '解析', '自然言語処理', 'システム情報', 'プログラミング', '調査', 'アプリケーション', '統計', '数理', 'モデリング', '機械学習', 'ビッグデータ', '分析']"
数理最適化法,"['代数', '行列', '定理', '分析', '最適化']","['関数', 'プログラミング', '解析', '調査', '実証', '行列', '集合', 'モデリング', '幾何学', '解法', '代数', '方程式', '定理', 'ハードウェア', '最適化', '分析']"
応用確率論,"['心理', '微積分', '数学', '問題解決', '確率']","['確率', '線形代数', '数学', '微積分', '心理学', '心理', '意思決定', '統計', '社会', '倫理', '数理', '数値', '問題解決']"
数理統計学,"['統計', '数学', 'データ', '情報', '解析', '数理', '確率']","['シミュレーション', '確率', '数値', '数学', '解析', 'データ', '通信', 'コンテンツ', '調査', 'アプリケーション', 'アルゴリズム', '統計', '数理', '数値解析', '分析', '情報']"
離散数学,"['統計', '集合', '数学', '代数', '微積分', 'モデリング', 'データ', '問題解決']","['関数', 'プログラミング', '空間', 'アプリケーション', '統計', '解析', '調査', '意思決定', 'アルゴリズム', 'モデリング', '数理', 'シミュレーション', '代数', '問題解決', '線形代数', '微積分', 'データ', '方程式', '分析', '数学', '行列', '集合', '幾何学', '定理', '情報']"
問題発見と解決,"['統計', '数学', 'モデリング', 'プレゼンテーション']","['数学', '解析', 'プログラミング', 'ワークショップ', 'プレゼンテーション', 'マーケティング', '調査', '統計', '数理', 'モデリング', 'シミュレーション', '分析']"
住環境設計演習,"['住宅', '建築', '設計', '環境']","['緑地', '環境', '建物', 'インフラ', '郊外', '空間', 'アプリケーション', '土地', '住宅', '設計', 'デザイン', '都市', '開発', '地域', '建築', '土木']"
住環境計画演習,"['住宅', '都市', '環境']","['緑地', '環境', '建物', '郊外', '空間', 'アプリケーション', '土地', '住宅', '都市', 'インフラ', '地域', '建築']"
住環境計画概論,"['政策', '歴史', '地域', '住宅', '郊外', '都市', '環境']","['緑地', '建物', '空間', 'アプリケーション', '土地', '都市', '戦略', '文化', '歴史', '交通', '住宅', 'インフラ', '政策', '建築', '現代', '地理', '政治', '地域', '経済', '環境', '郊外']"
空間デザイン論,"['空間', '心理', 'デザイン', 'データ', '建築']","['建物', 'データ', '空間', '心理学', '心理', 'アプリケーション', '構造', 'アルゴリズム', '設計', '倫理', '社会', 'デザイン', '土木', '住宅', 'モデル', '建築', '次元', '情報']"
都市緑地計画,"['歴史', '都市', '緑地']","['地理', '緑地', '文化', '建物', '郊外', '歴史', '住宅', '都市', '地域', '現代']"
現代まちづくり論,"['行政', '歴史', '都市']","['地理', '財務', '文化', '郊外', '歴史', '財政', '行政', '政府', '都市', '地域', '現代']"
都市文化共生計画,"['国際', '歴史', '文化', '開発']","['地理', '文化', '生産', '歴史', '実証', '国際', '設計', '社会', '開発', '経済', '現代']"
都市計画マスタープラン演習,"['地理', '地域', 'システム', '都市']","['地理', '郊外', 'システム', '土地', 'ソフトウェア', '都市', '地域', '方式', 'アーキテクチャ']"
土地利用計画,"['土地', '地域', '都市']","['地理', '建物', '郊外', '土地', '住宅', '都市', '地域']"
都市環境評価論,"['緑地', '都市', '土地']","['緑地', '建物', '郊外', '土地', '住宅', '都市', '地域']"
都市防災計画,"['都市', '統計', '地域', '数学']","['地理', '数学', '解析', '郊外', '調査', '土地', '統計', '数理', '都市', '地域', '分析']"
交通計画,"['政策', '統計', '分析']","['解析', '調査', '実証', '政治', '統計', '政策', '戦略', '経済', '分析']"
都市・地域科学演習,"['政策', '統計', '経済', '空間', 'データ分析', '数学']","['数学', '解析', 'データ分析', '空間', '調査', '財政', '金融', '構造', '政治', '統計', '社会', '次元', '数理', '政策', '戦略', '経済', '分析']"
都市経済学,"['政策', '経済', '地域', '都市', '分析', 'ミクロ']","['地理', '解析', 'マクロ', '郊外', '調査', '財政', '実証', '金融', '地域', '土地', '政治', 'ミクロ', '社会', '都市', '政策', '戦略', '経済', '分析']"
地域経営・行政論,"['政策', '行政', '国際']","['財務', '財政', '行政', '政治', '政府', '国際', '政策', '戦略', '経済']"
政策・公共事業評価,"['政策', '金融', '国際', 'プロジェクト', '経済', '分析', '会計']","['プログラム', '会計', '戦略', 'プロジェクト', '解析', '調査', '財政', '国際', '政策', '計画', '財務', '資産運用', '政治', '社会', '経済', '分析', '事業', '金融市場', '実証', '金融']"
都市解析,"['都市', '統計', '幾何学', '数学', '問題解決', 'データ']","['数学', '解析', '問題解決', 'データ', '郊外', '調査', '意思決定', 'アプリケーション', 'アルゴリズム', '統計', '数理', '幾何学', '都市', '地域', '代数', '分析', '情報']"
環境政策論,"['政策', '国際', '開発', '経済']","['生産', '実証', '財政', '金融', '政治', '国際', '設計', '社会', '開発', '政策', '戦略', '経済']"
都市計画インターンシップ,"['都市', 'コミュニケーション', '健康']","['環境', '学習', '人体', 'インタラクション', '郊外', 'マーケティング', '健康', '心理', '生命', '都市', '地域', 'コミュニケーション', '人間']"
建築関連法規,"['土地', '建築']","['建物', '土地', '住宅', '地域', '建築', '土木']"
建築経済,"['生産', '建築', '経済']","['建物', '生産', '財政', '金融', '市場', '住宅', '社会', '開発', '発電', '建築', '経済', '土木']"
建築生産,"['生産', '建築']","['建物', '生産', '市場', '住宅', '開発', '発電', '建築', '土木']"
都市計画の思想史,"['国際', '歴史', '政治', '都市', '開発']","['地理', '文化', '生産', '郊外', '歴史', '実証', '地域', '国際', '政治', '社会', '設計', '都市', '開発', '政策', '経済', '現代']"
施設設計演習,"['建築', 'コミュニケーション', '情報']","['学習', '建物', 'データ', '通信', 'インタラクション', '情報', 'マーケティング', 'コンテンツ', '住宅', 'コミュニケーション', '建築', '土木']"
都市計画演習,"['歴史', '国際', '地域', '空間', '開発', '人間']","['地理', '文化', '人体', '生産', '空間', '歴史', '実証', '土地', '生命', '構造', '国際', '設計', '都市', '開発', '地域', '次元', '人間', '現代']"
都市計画事例講義,"['開発', '都市']","['生産', '郊外', '実証', '設計', '都市', '開発', '地域']"
基本製図,"['CAD', '空間']","['空間', 'コンピューティング', 'CAD', '構造', 'モデリング', '次元']"
設計演習I,"['建築', '設計']","['建物', '設計', '住宅', 'デザイン', '開発', '建築', '土木']"
都市計画原論,"['社会基盤', '国際', '都市', '地域', 'インフラ']","['地理', '社会基盤', '郊外', 'ネットワーク', '土地', '国際', '公共', '社会', '都市', 'インフラ', '地域', '経済']"
都市計画の歴史,"['政治', '歴史', '空間', '都市', '都市', '現代']","['地理', '文化', '空間', '歴史', '郊外', '地域', '構造', '政治', '社会', '次元', '都市', '政策', '経済', '現代']"
都市計画情報演習,"['CAD', '統計', '空間', '分析', '数学', 'gis', '都市']","['空間', '統計', '都市', 'python', '解析', 'gis', '調査', 'コンピューティング', '公開鍵暗号', 'モデリング', '数理', 'CAD', '構造', '地域', '分析', '数学', '整数論', '郊外', '実証', '次元']"
社会工学実習,"['プレゼンテーション', '都市']","['ワークショップ', 'プレゼンテーション', 'マーケティング', '郊外', '都市', 'シミュレーション', '地域']"
情報リテラシー・演習,"['リテラシー', '計算']","['関数', '計算', '解析', '数値', 'リテラシー']"
微積分I,"['微積分', '数学', '定理']","['関数', '線形代数', '数学', '微積分', '数理', '解法', '方程式', '定理']"
微積分II,"['微積分', '微積分', '定理', '数学', '応用']","['関数', '線形代数', '数学', '微積分', '実証', '応用', '数理', '解法', '方程式', '定理', '応用技術']"
線形代数I,"['線形代数', '行列', '方程式']","['関数', '線形代数', '微積分', '行列', '集合', '数理', '解法', '方程式', '定理']"
線形代数II,"['線形代数', '空間', '応用', '方程式']","['関数', '線形代数', '微積分', '空間', '実証', '応用', '構造', '数理', '解法', '方程式', '定理', '次元', '応用技術']"
統計I,"['仮説', '分析', 'データ', 'モデル', '検定', '統計', '確率']","['アプリケーション', '定理', '原理', '統計', '検定', '解析', '調査', 'アルゴリズム', 'モデリング', '数理', '確率', 'データ', '情報', '理論', '分析', '数学', '実証', '仮説', '数値', 'モデル', 'アーキテクチャ']"
統計II,"['モデル', 'データ', '統計', '応用']","['解析', 'データ', '調査', '実証', 'アプリケーション', '応用', 'アルゴリズム', 'モデリング', '統計', 'アーキテクチャ', '応用技術', 'モデル', '分析', '情報']"
社会経済システム情報演習,"['プレゼンテーション', '分析', '調査']","['解析', 'ワークショップ', 'プレゼンテーション', 'マーケティング', '調査', '実証', '統計', 'シミュレーション', '分析']"
都市計画情報実習,"['CAD', 'gis', '統計', '空間', '分析', '数学', '都市']","['空間', '統計', '都市', 'python', '解析', 'gis', 'コンピューティング', '公開鍵暗号', '調査', 'モデリング', '数理', 'CAD', '構造', '地域', '分析', '数学', '整数論', '郊外', '実証', '次元']"
経営工学概論,"['戦略', 'マーケティング', '経営']","['経営', '事業', 'マーケティング', 'コンサルティング', 'イノベーション', 'システム', '財政', '資産運用', '政策', '戦略', 'マネジメント']"
会計学概論,"['会計', '会計', '企業', '検定']","['財務', '金融機関', '数学', '資本', 'コンサルティング', '金融', '会計', '資産運用', '企業', '統計', '数理', '検定']"
会計学概論別講,"['会計', '会計', '日商簿記', '財務', '経営']","['経営', '財務', '事業', '財政', '金融', '会計', '資産運用', '日商簿記']"
マネジメント実習,"['エンジニア', '統計', '意思決定', '戦略', '数学', 'データ', 'マーケティング', 'データ分析', '人工知能']","['人工知能', 'エンジニア', 'コンサルティング', 'アプリケーション', '統計', '戦略', '解析', 'マーケティング', '調査', 'コンピューティング', '意思決定', 'システム', 'アルゴリズム', '数理', '政策', '問題解決', 'データ分析', 'データ', 'マネジメント', '分析', '数学', 'エージェント', '行政', 'コンピュータ', 'イノベーション', '情報']"
